time, p0, p1, p2, p3
1241341000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1305851000, [-6.7049417e-15  0.0000000e+00], [827.   0.], [827. 219.], [  0. 219.]
1368951000, [0.00012207 0.        ], [1278.9999    0.    ], [1278.9999  718.9999], [1.2207031e-04 7.1899988e+02]
1406685000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1472521000, [ 78.77878 718.8788 ], [235.52292 432.8208 ], [398.7905 522.2825], [242.04636 808.34045]
1533921000, [ 81.      718.99994], [ 81.      523.99994], [346.99994 523.99994], [346.99994 718.99994]
1602566000, [ 96.391014 706.0721  ], [215.22607 433.90146], [382.63562 506.9958 ], [263.80057 779.1664 ]
1670293000, [-7.011103e-15  0.000000e+00], [445.   0.], [445. 229.], [  0. 229.]
1736972000, [-48.883636 204.59238 ], [  30.158173 -106.81768 ], [932.1449  122.12372], [853.103   433.53378]
1804205000, [152.8023  718.06683], [160.91302 551.2181 ], [348.5183 560.3378], [340.4076 727.1866]
1874246000, [311.58316 234.36136], [540.104  177.1099], [673.50977 709.60266], [444.9889 766.8541]
1938914000, [0.00012207 0.        ], [908.   0.], [908.     718.9999], [1.2207031e-04 7.1899988e+02]
2001914000, [-2.2013028e-14  0.0000000e+00], [902.   0.], [902. 719.], [  0. 719.]
2040787000, [  0.     718.9999], [0. 0.], [885.9999   0.    ], [885.9999 718.9999]
2100998000, [-7.3092537 35.108    ], [791.3141  -46.08902], [869.1006  718.98975], [ 70.477234 800.18677 ]
2171184000, [436.7538    15.817234], [685.6184    -12.2501955], [687.33496     2.9697456], [438.47034   31.037174]
2235942000, [253.49054 664.2831 ], [304.99243 654.62646], [312.8377 696.468 ], [261.33582 706.12463]
2299151000, [302.32483 248.73761], [ 449.8734  -130.99399], [960.6863   67.48755], [813.1377  447.21915]
2377254000, [284.04382 238.45929], [415.711       5.6163254], [453.1681    26.797424], [321.50092 259.64038]
2433654000, [119.14107 600.75024], [318.66898 545.24243], [357.5716  685.08154], [158.04367 740.58936]
2503302000, [128.88245  33.52469], [783.7774   -38.431732], [867.00006 719.0001 ], [212.1051  790.95654]
2542958000, [433.64514   16.401176], [716.864    -11.521812], [718.3534      3.5848694], [435.13452   31.507858]
2601992000, [442.05997  16.47435], [693.1802    -8.307255], [694.4855     4.919201], [443.36523   29.700806]
2665394000, [ 77. 588.], [331. 588.], [331. 719.], [ 77. 719.]
2707998000, [-24.262486  54.766754], [788.1208  -41.27292], [878.00006 719.     ], [ 65.61676 815.0397 ]
