time, x, y
1351076000, 497.4139404296875, 479.4530334472656
1420521000, 639.5, 359.5
1482267000, 639.5, 359.5
1515268000, 599.6470336914062, 519.5883178710938
1614529000, 467.83697509765625, 236.87350463867188
1715276000, 677.4000244140625, 694.2000122070312
1749168000, 619.15380859375, 599.2307739257812
1813034000, 624.60791015625, 613.0847778320312
1849137000, 627.5054931640625, 617.3409423828125
1879947000, 603.8436279296875, 519.980712890625
1946956000, 604.7423706054688, 519.170166015625
1982576000, 603.9942016601562, 517.0455322265625
2047155000, 86.11033630371094, 634.2339477539062
2082203000, 604.3525390625, 517.1229248046875
2117872000, 671.0120849609375, 691.6388549804688
2149925000, 677.4707641601562, 695.5634155273438
2213893000, 412.181640625, 686.2369384765625
2251982000, 470.70599365234375, 694.3235473632812
2284758000, 214.26513671875, 383.9449768066406
2349427000, 86.763916015625, 463.35687255859375
2392470000, 605.36767578125, 557.2240600585938
2446984000, 607.4647827148438, 516.7572631835938
2488429000, 637.9671630859375, 627.2351684570312
2549407000, 498.33544921875, 623.6943969726562
2587921000, 213.83132934570312, 385.10821533203125
2655469000, 636.77001953125, 600.49267578125
2712666000, 235.98846435546875, 338.6896667480469
2755113000, 237.23077392578125, 337.15380859375
2822301000, 503.38427734375, 690.1015625
2880593000, 91.77632141113281, 454.8828125
2918277000, 443.0, 690.0
2949893000, 418.71728515625, 689.8069458007812
2984565000, 101.5698013305664, 601.7779541015625
3016341000, 571.1378173828125, 635.51806640625
3087030000, 550.4396362304688, 459.8808288574219
3122319000, 610.0361938476562, 559.8009033203125
3178394000, 482.5908203125, 648.50634765625
3217481000, 574.5301513671875, 598.8822021484375
3256639000, 497.82806396484375, 644.2826538085938
3321957000, 488.3001708984375, 624.4366455078125
3353045000, 634.7413330078125, 590.5972900390625
3400060000, 250.78640747070312, 360.9476013183594
3448430000, 84.88259887695312, 463.9903259277344
3482894000, 558.5, 669.0
3516992000, 643.0963134765625, 605.6265258789062
3561920000, 473.470703125, 694.38232421875
3618606000, 564.4491577148438, 656.546875
3650981000, 634.1004638671875, 531.266357421875
3682957000, 212.39877319335938, 383.99169921875
3716769000, 500.5588684082031, 675.7647705078125
3752083000, 253.11566162109375, 324.56158447265625
3817903000, 484.1297607421875, 584.9317016601562
3853041000, 483.7667236328125, 585.1797485351562
3915040000, 616.0423583984375, 519.2373657226562
3979351000, 246.560546875, 329.648193359375
4016085000, 404.5, 689.0
4055018000, 269.2716369628906, 331.1714172363281
4114843000, 555.1129150390625, 219.734375
4151279000, 614.9074096679688, 499.70623779296875
4183774000, 88.69109344482422, 636.5733032226562
4216592000, 88.47294616699219, 466.57183837890625
4251722000, 472.3115234375, 233.24229431152344
4292009000, 517.3383178710938, 175.76022338867188
4345886000, 596.7225341796875, 498.816650390625
4384846000, 596.1638793945312, 496.4254150390625
4416498000, 681.750732421875, 694.02978515625
4456349000, 581.7637939453125, 467.38677978515625
4519105000, 591.5186157226562, 500.0550842285156
4578607000, 582.2105102539062, 499.2097473144531
4644387000, 483.423583984375, 687.6901245117188
4686805000, 505.51605224609375, 477.45819091796875
4745177000, 266.6080627441406, 352.0843811035156
4779931000, 551.4671020507812, 662.888427734375
