time, p0, p1, p2, p3
1351076000, [272.      719.00006], [316.93152 204.46164], [722.8279  239.90607], [677.89636 754.44446]
1420521000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1482267000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1515268000, [598.2941 516.1766], [599.2353 515.9412], [600.99994 523.00006], [600.0588 523.2354]
1614529000, [398.72388 323.0096 ], [534.12775 148.54692], [536.9501 150.7374], [401.5462  325.20007]
1715276000, [664.2     690.60004], [666.60004 685.8    ], [690.60004 697.8    ], [688.2     702.60004]
1749168000, [602.223  567.4846], [617.62305 563.28467], [636.0846 630.9769], [620.6846 635.1769]
1813034000, [593.1394 554.5579], [611.4558 547.9489], [656.0764  671.61163], [637.76    678.22064]
1849137000, [596.6955 557.7941], [613.82916 551.70526], [658.3155  676.88776], [641.1818 682.9766]
1879947000, [586.26843 501.18802], [597.7047  494.99344], [621.4188 538.7733], [609.98254 544.9679 ]
1946956000, [587.1135 499.5052], [601.95886 492.9073 ], [622.3712  538.83514], [607.5259  545.43304]
1982576000, [588.9883 498.0911], [603.9984  492.87015], [619.0001 536.    ], [603.99    541.22095]
2047155000, [ 51.40423 718.7716 ], [116.805786 548.1588  ], [120.816444 549.6963  ], [ 55.414886 720.3091  ]
2082203000, [589.36566 498.37875], [602.63776 493.18527], [619.3394 535.8672], [606.0673  541.06067]
2117872000, [653.3732  684.65094], [658.3261 677.5312], [688.65094 698.6268 ], [683.69806 705.7465 ]
2149925000, [664.57074 694.2634 ], [668.11224 686.5902 ], [690.3708 696.8634], [686.8293 704.5366]
2213893000, [346. 703.], [354.20398 650.187  ], [478.36328 669.4739 ], [470.1593  722.28687]
2251982000, [324.94128 682.7647 ], [593.88245 615.5295 ], [616.4707 705.8824], [347.52954 773.1176 ]
2284758000, [ 95.929504 405.07602 ], [292.90118 293.02628], [332.60077 362.81393], [135.62909 474.86368]
2349427000, [ -3.817873 546.06323 ], [143.46838 354.59106], [177.3457 380.6505], [ 30.059448 572.1227  ]
2392470000, [552.5248  441.49454], [604.57227 430.00357], [658.2106 672.9536], [606.1631 684.4446]
2446984000, [590.74695 498.1992 ], [599.69507 493.01865], [624.1826 535.3153], [615.2345  540.49585]
2488429000, [585.32935 559.2997 ], [613.     545.0001], [690.605   695.17065], [662.9343 709.4702]
