time, p0, p1, p2, p3
46461570254, [371.60974 179.4878 ], [391.03656 177.32925], [395.19507 214.7561 ], [375.76825 216.91464]
46563812893, [377.55997 176.92   ], [389.87997 175.15999], [395.58    215.05998], [383.25998 216.81999]
46663715479, [379.1931  176.28276], [392.32416 175.51036], [394.6966  215.84138], [381.56555 216.61378]
46763678753, [371.2132  178.34425], [391.50006 176.49998], [394.97546 214.72948], [374.6886  216.57375]
46862472955, [379.30344 178.15863], [388.50687 177.61725], [390.75516 215.83795], [381.55173 216.37933]
46963237409, [353. 181.], [362. 181.], [362. 218.], [353. 218.]
47062121284, [364. 180.], [373. 180.], [373. 217.], [364. 217.]
47163269356, [353. 181.], [362. 181.], [362. 218.], [353. 218.]
47485916420, [320. 218.], [320. 180.], [328. 180.], [328. 218.]
47571515837, [312. 180.], [321. 180.], [321. 218.], [312. 218.]
47641168221, [308. 179.], [328. 179.], [328. 218.], [308. 218.]
47708710899, [305.82648 216.7792 ], [310.39746 178.68771], [324.4353  180.37225], [319.86432 218.46375]
47777942350, [309.54092 193.04916], [311.99997 190.99997], [318.9672  199.36063], [316.50815 201.40982]
47845970226, [307. 179.], [324. 179.], [324. 218.], [307. 218.]
47911720570, [310. 180.], [333. 180.], [333. 218.], [310. 218.]
47980218882, [314.9888 217.618 ], [318.5933 179.7708], [327.0405 180.5753], [323.436  218.4225]
48063498266, [348. 181.], [356. 181.], [356. 219.], [348. 219.]
48163642722, [359. 181.], [368. 181.], [368. 217.], [359. 217.]
48261066304, [367.78864 180.13963], [377.07544 179.73586], [378.69055 216.88301], [369.40375 217.28679]
48361083196, [373.96002 179.72   ], [383.2 178.4], [388.5 215.5], [379.26 216.82]
48461797965, [365.77997 180.46   ], [388.18 177.26], [393.64 215.48], [371.24    218.68001]
48561977089, [373.8 178.6], [390.03998 176.28   ], [395.51996 214.63998], [379.27997 216.95999]
48760876247, [374.4155  178.32307], [390.53854 176.3077 ], [395.33853 214.70769], [379.21548 216.72307]
48861033611, [366.05243 179.39302], [388.32318 176.4236 ], [393.42365 214.67686], [371.1529  217.64629]
48961533737, [376.25687 179.10895], [385.4086  178.53696], [387.73935 215.8288 ], [378.58762 216.40079]
49062258989, [348. 181.], [357. 181.], [357. 218.], [348. 218.]
49163313632, [359. 181.], [368. 181.], [368. 217.], [359. 217.]
49261197559, [348. 181.], [357. 181.], [357. 218.], [348. 218.]
49361193525, [317. 217.], [317. 180.], [325. 180.], [325. 217.]
49461657669, [311. 180.], [334. 180.], [334. 218.], [311. 218.]
49561872390, [308. 179.], [325. 179.], [325. 217.], [308. 217.]
49663117286, [307.71997 209.95999], [309.03998 200.72   ], [311.83997 201.12   ], [310.51996 210.35999]
49761025103, [308. 179.], [321. 179.], [321. 218.], [308. 218.]
49863366790, [308. 179.], [328. 179.], [328. 218.], [308. 218.]
49962061879, [313. 180.], [321. 180.], [321. 218.], [313. 218.]
50062180761, [320. 181.], [328. 181.], [328. 218.], [320. 218.]
50163698343, [352. 181.], [361. 181.], [361. 218.], [352. 218.]
50261782858, [360.62195 180.59756], [369.5122  179.60977], [373.62195 216.59756], [364.7317  217.58536]
50361534162, [371.48068 180.13257], [380.61325 179.65192], [382.51932 215.8674 ], [373.38675 216.34805]
50460492898, [377.52414 178.28966], [386.79312 177.51726], [389.97934 215.75175], [380.71036 216.52415]
50561478280, [370.29514 179.2459 ], [390.582   177.40163], [394.0574  215.63112], [373.77054 217.47539]
50663736759, [378.2923  177.26154], [391.52924 176.52615], [393.71387 215.84924], [380.47693 216.58463]
50760119224, [377.25995 177.81999], [388.87994 176.15999], [394.47992 215.36   ], [382.85992 217.02   ]
50861698012, [371.20007 178.6    ], [389.66162 176.29233], [394.4616  214.69232], [376.00006 217.     ]
50962081838, [374.30768 179.53848], [384.69232 177.46155], [392.07697 214.38461], [381.69232 216.46155]
51062054694, [370.81998 179.74   ], [380.05997 178.42   ], [385.35995 215.52   ], [376.11996 216.84001]
51163684432, [365. 217.], [365. 180.], [374. 180.], [374. 217.]
51261463985, [332. 181.], [340. 181.], [340. 219.], [332. 219.]
51361520458, [322. 181.], [330. 181.], [330. 218.], [322. 218.]
51462150078, [332. 181.], [340. 181.], [340. 219.], [332. 219.]
51562403341, [309. 179.], [330. 179.], [330. 218.], [309. 218.]
51662956734, [308. 179.], [322. 179.], [322. 217.], [308. 217.]
