time, p0, p1, p2, p3
1410506000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1592710000, [-19.997967 565.0676  ], [213.61726 408.98846], [233.61522 438.9209 ], [-1.5258789e-05  5.9500006e+02]
1760132000, [-10.799976 524.60004 ], [117.60002 267.80002], [188.40001 303.2    ], [ 60.000015 560.      ]
1922586000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
2091215000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
2255462000, [499.   0.], [1279.    0.], [1279.  719.], [499. 719.]
2427439000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
2594872000, [560.03815   42.501343], [ 869.9561  -128.64734], [1166.771    408.82812], [856.85297 579.9768 ]
2756082000, [551.11523 508.44983], [577.2119 488.3755], [587.2119 501.3755], [561.11523 521.4498 ]
2923496000, [334.53928 458.0074 ], [553.7349  372.32184], [683.9741 705.492 ], [464.7785  791.17755]
3122460000, [-109.02132  268.45197], [614.01746 -87.34721], [723.7997  135.74725], [  0.7609253 491.54645  ]
3291373000, [-53.02513 239.10947], [617.281   -86.89261], [724.8762  134.33835], [ 54.57007 460.34042]
3461342000, [-97.76114 285.64682], [622.7352  -69.51162], [723.4569  134.81863], [  2.9605713 489.97708  ]
3625107000, [-52.625374 258.1853  ], [622.4611  -75.06971], [725.7388 134.1435], [ 50.652283 467.3985  ]
3824698000, [-54.294056 259.21396 ], [610.64166 -64.42733], [711.8105  143.42859], [ 46.874756 467.0699  ]
3990336000, [-50.022736 259.55963 ], [609.2961  -62.79888], [708.61646 140.34088], [ 49.29767 462.6994 ]
4159423000, [552.9099  490.96448], [615.86865 485.48975], [626.84424 611.7092 ], [563.8855  617.18396]
4325482000, [215.15543 169.33792], [585.2317   -30.978645], [674.03516 133.08185], [303.95886 333.3984 ]
4490597000, [-47.946793 273.90536 ], [615.5947  -42.75747], [706.4878 147.7016], [ 42.94629 464.36444]
4656964000, [-77.03278 244.59894], [591.0585   -85.841866], [701.97516 138.41156], [ 33.88391 468.85236]
4826190000, [-88.80359 342.93353], [478.1291    32.285454], [568.8319  197.81818], [  1.8992615 508.46625  ]
4989351000, [-116.11737  275.2767 ], [596.9175  -91.52487], [713.27924 134.67368], [2.4438477e-01 5.0147525e+02]
5155034000, [-61.643906 252.1171  ], [603.4586  -88.83795], [717.5548  133.73004], [ 52.45227 474.6851 ]
5326030000, [430.49054 411.37927], [571.878   358.67273], [699.315   700.52747], [557.92755 753.234  ]
5493095000, [ -7.31678 395.7508 ], [525.19324 -95.2332 ], [653.06287   43.451233], [120.55286 534.43524]
5656268000, [554.2882  268.28864], [662.2395  178.11763], [927.6763  495.89404], [819.725   586.06506]
5823738000, [-34.074665 271.22748 ], [622.98364 -45.65165], [715.5752  146.33966], [ 58.516907 463.21878 ]
5988563000, [513.88104 463.91183], [601.00214 434.09702], [692.6849 702.0011], [605.5638 731.8159]
6158534000, [503.5222 327.0409], [648.6613  312.42258], [688.19946 704.98   ], [543.06036 719.59827]
6329969000, [517.11096 486.1103 ], [655.2433  471.34808], [680.2113 704.9775], [542.079  719.7397]
6491371000, [553.7001  487.10004], [578.30005 478.90005], [595.      529.00006], [570.4    537.2001]
6660065000, [461.66876 194.05621], [673.6761  189.39105], [685.2651 716.0456], [473.25775 720.71075]
6689091000, [-56.232582 236.6507  ], [611.8462   -85.436226], [720.71826 140.38818], [ 52.639465 462.4751  ]
