time, p0, p1, p2, p3
1319231000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1382598000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1447247000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1518977000, [-240.97107  286.3036 ], [ 511.01462 -226.01921], [751.98566  127.677246], [-3.0517578e-05  6.4000006e+02]
1583314000, [315.7492    81.851814], [648.86615  55.3204 ], [649.8362   67.49978], [316.71924  94.03119]
1647320000, [413.47028 368.79703], [473.26233 319.87625], [499.90588 352.44058], [440.11383 401.36136]
1683928000, [149.40604 172.87846], [584.74457  -63.185413], [652.4136   61.60672], [217.07501 297.6706 ]
1746932000, [213.89232 261.93848], [251.      197.00003], [261.44617 202.96927], [224.3385 267.9077]
1783239000, [137.517   176.31647], [588.93933  -59.701157], [652.2318    61.356003], [200.80945 297.37363]
1848615000, [664.  59.], [666.  59.], [666.  65.], [664.  65.]
1916960000, [135.39272 177.38525], [587.86816 -57.77602], [649.8644    61.511337], [197.38892 296.6726 ]
1980904000, [194.92558 293.38678], [315.92194  81.38471], [329.39258   89.072876], [208.39624 301.07495]
2044374000, [501.08292 263.92828], [586.06085 228.87486], [589.2688  236.65158], [504.29083 271.70502]
2114418000, [  1.0000095 129.       ], [  9.50001 120.5    ], [ 42.500008 153.5     ], [ 34.000008 162.      ]
2182982000, [218.24615 252.56921], [297.81537  113.323074], [308.26154 119.2923 ], [228.69232 258.53845]
2248880000, [489.034   493.18112], [491.50946 492.71695], [497.72455 525.86414], [495.24908 526.32825]
2313916000, [495.54    241.67824], [660.9672 229.4655], [663.5115  263.92865], [498.0843  276.14142]
2382855000, [317.81763   81.530235], [648.8591   57.09093], [650.00037  72.5503 ], [318.95892  96.98961]
2445622000, [439.8222  368.64322], [474.6314  297.09097], [505.29352 312.00766], [470.4843 383.5599]
2528073000, [400.82672 309.91473], [544.19434 301.44302], [568.8478 718.6545], [425.48016 727.1262 ]
2588493000, [34.241917 23.779373], [662.83185  -17.885117], [695.58997 476.3355 ], [ 67.00006 518.     ]
2655931000, [0.00012207 0.        ], [811.   0.], [811.     718.9999], [1.2207031e-04 7.1899988e+02]
2719101000, [  0.     718.9999], [0. 0.], [805.9999   0.    ], [805.9999 718.9999]
2782587000, [381.602   481.49896], [442.9292  291.06195], [504.66266 310.9422 ], [443.33545 501.3792 ]
2850747000, [ -5.951291 126.98984 ], [273.3991    43.907177], [290.85022 102.58336], [ 11.499817 185.66602 ]
2893412000, [351.65497 578.89795], [532.63446     3.9111786], [728.56464  65.58099], [547.58514 640.56775]
2950976000, [310.5223   84.60412], [609.42346  62.27959], [610.5366  77.184 ], [311.6355   99.50853]
3013379000, [314.92352  84.01021], [646.797     58.371902], [647.97955  73.67969], [316.10608  99.31799]
3088544000, [398.8532 435.697 ], [526.257   422.85788], [556.0998 718.99  ], [428.69598 731.8291 ]
3147485000, [393.4599  638.98694], [439.44324 410.21976], [546.4804  431.73474], [500.49707 660.50195]
3213643000, [134.73582 182.19867], [587.7369   -59.547073], [657.3682   70.93332], [204.36719 312.67908]
3281597000, [389.17377 716.08386], [424.93805 227.64607], [583.12964 239.22919], [547.36536 727.667  ]
3350298000, [-22.522057 341.20312 ], [483.8073  303.41736], [506.32947 605.2142 ], [9.1552734e-05 6.4299994e+02]
3412979000, [  0.     718.9999], [0. 0.], [669.9999   0.    ], [669.9999 718.9999]
3514527000, [398.16956 312.06805], [480.7459 305.2995], [504.55933 595.82306], [421.98297 602.5916 ]
3578388000, [-55.450813 142.2113  ], [608.3658  -73.31358], [679.21564 144.90399], [ 15.399048 360.4289  ]
3648402000, [322.60468  83.10502], [649.7321    56.683174], [650.779    69.64477], [323.65155  96.06661]
3746065000, [366.40045 649.14453], [442.7718  215.03392], [579.17065 239.03003], [502.79932 673.1406 ]
3821318000, [162.07599 343.39478], [354.5136  168.34607], [716.21857 565.98193], [523.78094 741.03064]
3889159000, [ 34.050842 161.93735 ], [ 436.12076 -205.35898], [904.4305  307.28775], [502.36057 674.5841 ]
3981128000, [383.56155 386.7804 ], [517.27936 354.55923], [585.4369  637.41284], [451.71906 669.63403]
4043386000, [445.04767 470.77426], [488.00916 463.3027 ], [501.1908  539.09717], [458.2293 546.5687]
4143697000, [-39.400177 208.42017 ], [ 170.86823 -231.43463], [977.33826 154.0907 ], [767.0699 593.9455]
4210225000, [-73.70183 169.45737], [614.7457   -88.468124], [749.4477  271.07455], [ 61.000122 529.00006 ]
4278438000, [313.5786   80.10153], [647.5888    56.243668], [648.7259    72.162445], [314.7157   96.02031]
4353182000, [-6.2707477 17.210709 ], [688.51306  -17.984695], [703.3307 274.5274], [  8.546875 309.72278 ]
4426562000, [71.141525 32.47165 ], [761.7349   -31.079926], [828.3527 692.8325], [137.75934 756.38416]
4518384000, [187.46153 292.6923 ], [307.70767  82.26152], [321.59998  90.19998], [201.35385 300.63074]
4585750000, [ 77.97682 108.84972], [641.03467   22.225418], [672.0636  223.91328], [109.00574 310.5376 ]
4678541000, [-215.26027  225.18147], [ 486.92786 -147.2835 ], [702.1881  258.53503], [  0. 631.]
4748961000, [360.96997 688.94836], [467.21338 384.80057], [733.48315 477.81262], [627.23975 781.96045]
4852496000, [-1.08381245e-14  0.00000000e+00], [645.   0.], [645. 354.], [  0. 354.]
4915417000, [-4.0471115  8.759186 ], [660.73926  -11.740875], [669.8714  284.40042], [  5.085022 304.90048 ]
4982211000, [160.12631 292.48642], [294.0843    64.583885], [325.2145    82.881805], [191.25653 310.78433]
5049753000, [375.86017  75.2512 ], [638.77747   54.217808], [639.79175  66.89666], [376.87445  87.93005]
5145203000, [400.30768     1.4996643], [800.5694      -0.96347046], [804.99994 719.     ], [404.73822 721.46313]
5211516000, [121.     718.9999], [121.   0.], [803.9999   0.    ], [803.9999 718.9999]
5313977000, [ -2.3404007 274.40338  ], [485.9437  247.57457], [488.30884 290.62042], [2.4749756e-02 3.1744922e+02]
5380679000, [ 33.99996 107.00002], [215.5779  -76.62964], [394.5892  100.38155], [213.01128 284.01123]
5449183000, [160.38268 298.04028], [297.58908   66.822105], [333.85254   88.341095], [196.64615 319.55927]
5546850000, [130.53543 174.81912], [589.21436  -59.853897], [653.83765   66.455124], [195.15869 301.12814]
5615798000, [216.8212   112.957825], [617.22296  -22.911148], [646.42883  63.15779], [246.0271  199.02676]
5704879000, [114.44908 295.66455], [691.2897  205.36041], [706.8406  304.69592], [130.      395.00006]
5781713000, [-0.96824646 94.74994   ], [ 454.29065 -257.85254], [883.30176 296.06055], [428.04285 648.663  ]
5849366000, [422.56805 474.76328], [719.51483 351.03546], [763.44977 456.47928], [466.503  580.2071]
5947263000, [-1.0623812e-14  0.0000000e+00], [664.   0.], [664. 347.], [  0. 347.]
6011909000, [406.45795 260.73813], [796.0241  258.21664], [799.00653 718.9999 ], [409.44037 721.52136]
6079524000, [424.08417 425.26114], [781.69476 401.42038], [791.70807 551.6195 ], [434.09747 575.4602 ]
6146136000, [  0. 719.], [ 0. 43.], [805.  43.], [805. 719.]
6246762000, [-12.170937  89.98819 ], [687.11096 -70.56119], [865.3139 705.6116], [166.03198 866.161  ]
6347347000, [409.0587 376.498 ], [783.6352  354.52875], [794.72815 543.664  ], [420.15167 565.63324]
6414613000, [474.50134 152.9354 ], [659.1627    73.064545], [917.8154  671.06946], [733.15405 750.9403 ]
6480469000, [448.53876 484.6314 ], [454.92267 379.0063 ], [761.5607  397.53937], [755.1768 503.1645]
6547640000, [349.70535 521.26215], [612.1545  266.98267], [755.33777 414.76617], [492.8886  669.04565]
6614585000, [161.35297 276.83423], [772.0894  237.17603], [787.0365  467.36127], [176.30005 507.01947]
6715415000, [322.8107  374.57727], [680.3181  178.88896], [842.37427 474.95294], [484.86682 670.64124]
6780937000, [435.76 413.32], [747.95996 368.71997], [761.98 466.86], [449.78003 511.46002]
6878543000, [373.67725 712.1254 ], [476.46045  -25.303064], [703.334       6.3186646], [600.5508  743.74713]
6944488000, [526.252      5.028473], [787.3409     -6.0274353], [818.0423  718.99805], [556.9534  730.05396]
7014706000, [403.80005 468.60007], [711.00006 315.0001 ], [787.4     467.80008], [480.2 621.4]
7114438000, [-2.2013028e-14  0.0000000e+00], [818.   0.], [818. 719.], [  0. 719.]
7177185000, [-2.2013028e-14  0.0000000e+00], [814.   0.], [814. 719.], [  0. 719.]
7248628000, [ 35.65596 110.29848], [560.36835   43.481155], [586.8785  251.66338], [ 62.166077 318.4807  ]
7348944000, [151.60036 345.7669 ], [311.3733  169.69057], [735.35    554.41016], [575.577  730.4865]
7413013000, [ -2.382492 316.8231  ], [138.26137  32.10502], [557.2516  239.07608], [416.60773 523.7941 ]
7479778000, [400.34427 432.74567], [460.23923 424.4843 ], [487.8658  624.77716], [427.97086 633.0385 ]
7547936000, [392.45285 485.41516], [448.90567 287.8302 ], [482.0566  297.30188], [425.6038  494.88684]
7645479000, [380.79883 664.8346 ], [438.14294 223.48956], [599.20575 244.4165 ], [541.86163 685.76154]
7711912000, [409.19257 717.98004], [412.20624 242.82796], [599.01263 244.01276], [595.99896 719.16486]
7815030000, [199.6827  128.25066], [607.51154 -33.18163], [645.6684    63.214615], [237.83954 224.6469 ]
7880032000, [ 79.2552  153.27203], [ 573.1705  -105.06614], [658.659     58.378815], [164.74371 316.71698]
7946257000, [-178.02283  160.38994], [ 592.0487 -132.1569], [770.07166 336.45312], [1.2207031e-04 6.2899994e+02]
8046179000, [-3.3372688 91.76099  ], [538.03937  -38.169426], [595.6521  201.88348], [ 54.27545 331.8139 ]
8113529000, [ 85.98817 102.92277], [498.71597  39.5738 ], [529.77356 241.91846], [117.045746 305.26743 ]
8180425000, [-6.4061794 22.978516 ], [660.77844  -14.837639], [676.85925 268.8744 ], [  9.674622 306.69055 ]
8266206000, [-5.15812   2.281128], [764.30414  -4.05188], [769.46234 622.667  ], [6.1035156e-05 6.2900000e+02]
8382350000, [134.95493  64.89462], [744.2881   -12.481049], [836.6957 715.229 ], [227.36255 792.60474]
8450355000, [  0.     718.9999], [0. 0.], [804.9999   0.    ], [804.9999 718.9999]
8509219000, [378.77524  62.52057], [681.8061   44.39673], [721.5895  709.57477], [418.55865 727.6986 ]
8577323000, [-20.532665 119.236336], [612.92114  54.45118], [633.9196  259.76953], [  0.4658203 324.5547   ]
8647371000, [71.785446 91.13904 ], [482.14664  66.04498], [496.0152 292.8372], [ 85.65402 317.93124]
8747601000, [ 80.32217 163.76764], [510.62012 -91.05818], [606.4385   70.74034], [176.1405  325.56616]
8811105000, [390.9024  487.85104], [486.67645 450.81845], [584.47186 703.73755], [488.6978  740.77014]
8878510000, [332.4555  689.79083], [505.81525     4.0226364], [712.7602    56.337585], [539.40045 742.1058 ]
8977887000, [391.49725 307.6489 ], [477.88635 301.42264], [499.8523 606.1998], [413.4632  612.42615]
9045422000, [-37.2146   127.643326], [655.89294   -8.574341], [717.70874 305.95898], [ 24.601196 442.17664 ]
9119683000, [307.72504  81.39314], [642.76013  55.85237], [643.8307   69.89632], [308.7956   95.43709]
9211455000, [304.35486  95.24667], [310.22217   12.338808], [648.6412    36.288452], [642.77386 119.19632]
9280399000, [395.74066 304.813  ], [539.3317  297.63342], [560.3542 718.0823], [416.76312 725.26184]
9351228000, [186.00002 307.99994], [403.54535 139.15091], [737.58307 569.5256 ], [520.0377  738.37463]
9445342000, [320.0747 680.3947], [527.25525    -0.7670479], [757.61194  69.29767], [550.4314 750.4594]
9514838000, [-7.6508846 16.65561  ], [787.52924    -3.6684875], [806.00006 719.     ], [ 10.819946 739.3241  ]
9610734000, [-221.02852  232.45303], [ 519.7568  -184.65585], [740.78546 207.89102], [1.8310547e-04 6.2499988e+02]
9677537000, [414.4177 377.342 ], [552.36926 367.2889 ], [578. 719.], [440.04846 729.0531 ]
9745691000, [402.0301 251.8921], [562.9951  243.90096], [586.5801 718.9712], [425.61505 726.96234]
9819470000, [407.20685   45.819275], [800.0563   39.48297], [811.0163 718.9997], [418.16687 725.336  ]
9912764000, [131.941  280.4108], [724.4331  224.25961], [749.9977  494.00998], [157.50555 550.16113]
9979055000, [-35.810547 310.67255 ], [ 35.229553 -91.384254], [872.405    56.53772], [801.3649 458.5945]
10051019000, [169.45547 216.14745], [367.27737   28.737219], [416.02188  80.18977], [218.19998 267.6    ]
10146837000, [-13.324175  12.708527], [656.65796  -16.822418], [670.0867  287.84186], [1.0455322e-01 3.1737280e+02]
10210043000, [  0.     703.9999], [0. 0.], [679.9999   0.    ], [679.9999 703.9999]
10309627000, [159.51907 324.01025], [470.74817 294.0122 ], [504.8043 647.3441], [193.5752  677.34216]
10377537000, [-2.2013028e-14  0.0000000e+00], [679.   0.], [679. 719.], [  0. 719.]
10450248000, [-1.0582418 85.657234 ], [495.13638   57.030556], [508.2123  283.68002], [ 12.0177 312.3067]
