time, p0, p1, p2, p3
1269340000, [-2.2013028e-14  0.0000000e+00], [1022.    0.], [1022.  719.], [  0. 719.]
1341637000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1399880000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1467820000, [  0.     718.9999], [0. 0.], [712.9999   0.    ], [712.9999 718.9999]
1530627000, [-56.20553 231.41791], [620.6776   -77.417145], [729.7139  161.56113], [ 52.83081 470.39618]
1602632000, [-27.501408 257.66412 ], [644.58636  -39.627724], [735.5466  166.00607], [ 63.4588 463.2979]
1667327000, [  0.     718.9999], [0. 0.], [706.9999   0.    ], [706.9999 718.9999]
1730486000, [  0.     718.9999], [0. 0.], [1278.9998    0.    ], [1278.9998  718.9999]
1799986000, [  0.     718.9999], [0. 0.], [1278.9998    0.    ], [1278.9998  718.9999]
1869810000, [616.8623  166.07565], [1004.2612      8.814667], [1247.0247   606.84143], [859.62573 764.1024 ]
1935342000, [ 14.578865 334.09515 ], [303.44302 186.18282], [368.0881  312.43085], [ 79.22394 460.3432 ]
2001678000, [ 83.000015 452.      ], [213.34433 182.99156], [340.15063 244.43384], [209.80634 513.44226]
2067899000, [561.0699 665.0505], [695.1679  662.73846], [696.1004  716.82587], [562.0024 719.1379]
2129739000, [555.8899 558.3382], [573.3312  492.59808], [608.7179 501.9864], [591.2766 567.7265]
2177377000, [509.67212 383.7284 ], [579. 372.], [627.23364 657.1146 ], [557.90576 668.843  ]
2235754000, [328.87192 317.261  ], [388.046   108.74278], [401.21518 112.47998], [342.0411  320.99817]
2299522000, [561.35114 597.64484], [570.0799 504.9017], [605.7288 508.2569], [597.00006 601.     ]
2367683000, [564.88354 523.14374], [601.5     506.49997], [608.589  522.0959], [571.97253 538.7396 ]
2431520000, [331.11856 314.0428 ], [391.94693 110.78704], [402.59207 113.97284], [341.7637  317.22858]
2501006000, [619.78375 682.70276], [627.62164 671.72974], [690.62164 716.72974], [682.78375 727.70276]
2565417000, [508.88284 379.78918], [588.907   365.48022], [643.5198 670.9071], [563.4956  685.21606]
2636005000, [512.6248  378.98102], [596.2244  366.29694], [642.39996 670.6358 ], [558.80035 683.3199 ]
2701249000, [491.7736 602.7925], [580.5661  292.01886], [684.37744 321.67926], [595.5849 632.4529]
2764436000, [557.3962 512.8868], [608.7735  498.20758], [641.4527 612.5849], [590.0754 627.2641]
2799129000, [548.7104  518.38916], [615.543  494.5204], [695.6335 718.7738], [628.80084 742.6426 ]
2898479000, [501.53326 533.48816], [617.6298  491.89212], [699.00006 719.0001 ], [582.9035 760.5962]
2968695000, [518.12866 494.48538], [608.5675 463.5331], [696.     719.0001], [605.56116 749.9524 ]
3035741000, [520.6779  333.09253], [649.9036 324.5432], [676.00006 719.     ], [546.77435 727.5493 ]
3134369000, [452.89688 425.78412], [749.8733  256.91516], [927.4457 569.1975], [630.46924 738.06647]
3200435000, [420.18063 236.62335], [ 832.3865  -150.70796], [1462.5747  519.9511], [1050.3689  907.2824]
3298312000, [261. 236.], [306. 236.], [306. 254.], [261. 254.]
3369050000, [540.84314 523.1411 ], [565.12976 513.7886 ], [643.7478 717.9419], [619.4612  727.29443]
3439597000, [545.16315 493.93546], [581.8831  491.89542], [590.1662  640.99084], [553.4462 643.0309]
3538539000, [491.41473 429.11902], [551.368   406.89856], [664.13824 711.1655 ], [604.185 733.386]
3609932000, [517.51355 349.12067], [609.8801 339.8105], [648.09973 718.9899 ], [555.73315 728.3001 ]
3697249000, [530.65405 718.4349 ], [532.6852  325.41437], [652.0309 326.0312], [649.99976 719.0517 ]
3768088000, [458.802   655.28204], [590.99414 279.36057], [785.5415  347.77277], [653.34937 723.6942 ]
3866567000, [535.99994 325.99997], [654.99994 325.99997], [654.99994 718.9999 ], [535.99994 718.9999 ]
3931900000, [533.9696 717.3029], [540.0631 322.2426], [662.0907  324.12482], [655.9972 719.1851]
4002000000, [553.54114 520.22437], [583.5421  507.81018], [624.1472 605.9391], [594.14624 618.3533 ]
4100652000, [581.50006 522.50006], [590.00006 514.00006], [592.50006 516.50006], [584.00006 525.00006]
4166306000, [556.1012  573.56177], [560.3259  570.92126], [578.69666 600.3146 ], [574.4719 602.9551]
4263238000, [552.6337 520.7767], [610.5678  487.06964], [653.6165 561.0595], [595.68243 594.76654]
4332800000, [479.44327 449.37933], [556.00006 399.00003], [659.8606  556.82733], [583.3038  607.20667]
4400538000, [552.83295 526.85284], [567.1541  508.74875], [637.00006 564.00006], [622.6789 582.1041]
