time, angle
1269340000, 0
1341637000, 90.0
1399880000, 90.0
1467820000, 90.0
1530627000, 0.0
1602632000, 65.47465515136719
1667327000, 66.13823699951172
1730486000, 0.0
1799986000, 0.0
1869810000, 0.0
1935342000, 67.90576934814453
2001678000, 62.88536834716797
2067899000, 25.851863861083984
2129739000, 89.01223754882812
2177377000, 14.858612060546875
2235754000, 80.39802551269531
2299522000, 15.843080520629883
2367683000, 5.376705646514893
2431520000, 65.55604553222656
2501006000, 16.660869598388672
2565417000, 35.53767776489258
2636005000, 79.86219787597656
2701249000, 81.37265014648438
2764436000, 15.94539737701416
2799129000, 74.05460357666016
2898479000, 70.34617614746094
2968695000, 70.2879638671875
3035741000, 71.10669708251953
3134369000, 86.21495056152344
3200435000, 60.376251220703125
3298312000, 46.781959533691406
3369050000, 90.0
3439597000, 68.93864440917969
3538539000, 86.8201675415039
3609932000, 69.663818359375
3697249000, 84.24427795410156
3768088000, 0.29609960317611694
3866567000, 19.3741397857666
3931900000, 90.0
4002000000, 0.8836694359779358
4100652000, 67.52056884765625
4166306000, 45.0
4263238000, 57.9946174621582
4332800000, 59.80837631225586
4400538000, 56.652503967285156
4498190000, 38.345577239990234
4562925000, 85.6567611694336
4666010000, 88.4128646850586
4731996000, 77.64464569091797
4800272000, 88.40885925292969
4900562000, 80.9334945678711
4963582000, 73.69829559326172
5064341000, 78.45330810546875
5135660000, 79.86911010742188
5214797000, 75.83782958984375
5301140000, 24.61638832092285
5369720000, 21.35855484008789
5467036000, 89.40006256103516
5530305000, 76.90811157226562
5634699000, 90.0
5701772000, 62.63922882080078
5799822000, 43.8766975402832
5863961000, 43.87669372558594
5932037000, 49.674163818359375
6028965000, 21.476791381835938
6099299000, 33.4727668762207
6209728000, 53.97262954711914
6268659000, 70.20112609863281
6339466000, 45.418209075927734
6433212000, 67.78817749023438
6496088000, 32.47119140625
6600107000, 70.01689910888672
6663707000, 90.0
6765624000, 0.0
6828855000, 90.0
6898712000, 67.16634368896484
6997678000, 66.37062072753906
7163083000, 50.194427490234375
7235937000, 70.95337677001953
7308947000, 59.822086334228516
7396157000, 54.46232223510742
7467187000, 45.0
7564846000, 45.658546447753906
7632872000, 43.2642936706543
7729091000, 31.551382064819336
7799887000, 45.0
7868001000, 82.05652618408203
7965170000, 2.697805643081665
8032898000, 11.070201873779297
8108804000, 2.7891275882720947
8196008000, 23.594820022583008
8265112000, 38.1572265625
8364268000, 47.66300582885742
8434249000, 73.61045837402344
8529549000, 88.66777801513672
8599685000, 72.75853729248047
8695972000, 86.87786865234375
8763167000, 3.9909121990203857
8863564000, 18.924644470214844
8930401000, 53.97262954711914
8995774000, 53.130104064941406
9093640000, 0.0
9163795000, 64.44003295898438
9262372000, 52.12501525878906
9330335000, 40.17923355102539
9399542000, 63.43495178222656
9496045000, 90.0
9565925000, 50.52754211425781
9663407000, 4.635463714599609
9732492000, 4.085616588592529
9830147000, 88.47923278808594
9897112000, 33.690067291259766
9965101000, 68.71056365966797
10061396000, 62.81888961791992
10128275000, 59.975433349609375
10230698000, 72.58203125
10294556000, 75.1317138671875
10398391000, 0.8425242304801941
10498346000, 79.86219787597656
10561595000, 78.00917053222656
10661723000, 80.2061767578125
10728962000, 78.58155059814453
10830776000, 2.9609360694885254
10896229000, 89.02897644042969
10963852000, 6.009005546569824
11060779000, 81.72411346435547
11131156000, 80.76081085205078
11233123000, 29.499534606933594
11295028000, 75.61260986328125
11364642000, 16.534835815429688
11473610000, 53.84181594848633
11532756000, 61.927513122558594
11634648000, 88.56790161132812
11698656000, 20.136302947998047
11799131000, 14.188760757446289
11870548000, 82.07674407958984
11929924000, 79.49781036376953
12032076000, 81.97276306152344
12096308000, 63.43495178222656
12194073000, 80.6097183227539
12264089000, 78.40554809570312
12336021000, 83.14566802978516
12430626000, 74.77181243896484
12500422000, 0.14432154595851898
12582403000, 48.5578498840332
12665841000, 0.0
12768144000, 90.0
12830117000, 86.74278259277344
12907000000, 63.74032211303711
13001509000, 63.78861999511719
13068504000, 17.04903221130371
13158646000, 59.858612060546875
13230441000, 14.743562698364258
13297721000, 50.332157135009766
13399792000, 64.08415985107422
13464495000, 59.620872497558594
13566171000, 50.48615646362305
13627483000, 43.9583740234375
13730408000, 90.0
13798298000, 17.315635681152344
13863712000, 85.38934326171875
13959544000, 61.69924545288086
14031189000, 47.468116760253906
14128715000, 59.93141555786133
14192345000, 60.2551155090332
14261586000, 60.08635711669922
14358063000, 76.86598205566406
14429727000, 63.43495178222656
14496987000, 64.2743911743164
14596735000, 19.592281341552734
14660871000, 16.389541625976562
14759960000, 63.22115707397461
14828545000, 80.86180114746094
14929160000, 65.32089233398438
14995261000, 74.0986099243164
15062014000, 84.41739654541016
15168119000, 89.2500991821289
15237541000, 68.85554504394531
15330751000, 64.05178833007812
15398527000, 45.241756439208984
15500780000, 77.27564239501953
15565594000, 65.98920440673828
15628823000, 76.86598205566406
15729560000, 2.3718421459198
15792703000, 89.84215545654297
15928495000, 73.04181671142578
15990729000, 84.89216613769531
16026765000, 87.97129821777344
16125262000, 59.03623962402344
16194554000, 82.60831451416016
16293208000, 82.08858489990234
16361780000, 80.18070220947266
16429001000, 55.7131233215332
16528493000, 43.66777801513672
16593335000, 64.47029876708984
16664198000, 90.0
16761234000, 68.09129333496094
16830249000, 51.7469367980957
16928979000, 79.33021545410156
16991516000, 50.74060821533203
17063925000, 72.8755111694336
17162517000, 90.0
17225045000, 83.29924011230469
17329641000, 83.8533706665039
17392699000, 84.92039489746094
17495278000, 90.0
