time, p0, p1, p2, p3
3154732000, [562.48193 366.02686], [694.0061  282.38208], [917.0879  633.15894], [785.5637 716.8037]
3219885000, [361.   0.], [1279.    0.], [1279.  719.], [361. 719.]
3284843000, [520.8468  112.86795], [925.46295 -51.90793], [1239.3495   718.85767], [834.73334 883.63354]
3381557000, [588.9142   45.36051], [595.8601    44.747643], [603.261   128.62405], [596.31506 129.23691]
3453376000, [524.1131  488.81393], [532.3796  484.95627], [551.6679 526.2883], [543.4014 530.146 ]
3518822000, [498.98825 508.55298], [512.27106 478.49188], [563.3457  501.05975], [550.0629  531.12085]
3582427000, [497.87955 509.5438 ], [512.3139  478.61316], [564.157  502.8066], [549.7226  533.73724]
3693462000, [501.92484 553.1687 ], [527.34015 539.0292 ], [613.84973 694.52734], [588.4344 708.6669]
3784837000, [498.07626 484.8301 ], [551.2756 482.6135], [553.23914 529.74   ], [500.03986 531.95667]
3852598000, [524.7776  498.16006], [531.2223  495.83997], [541.95605 525.6559 ], [535.51135 527.97595]
3939589000, [514.8672  488.28543], [525.329   482.68088], [547.7175 524.4728], [537.25574 530.0773 ]
4012703000, [499.45926 502.40433], [514.4442  479.53247], [559.19885 508.85446], [544.21387 531.7263 ]
4053641000, [524.9874  498.69772], [531.67505 495.86838], [544.3589  525.84827], [537.67126 528.6776 ]
4111864000, [524.9853  496.96234], [532.45087 494.04102], [544.2247 524.1295], [536.7591  527.05084]
4224824000, [482.6179 550.501 ], [524.98016 526.44336], [620.2882  694.26843], [577.92596 718.32605]
4279107000, [483.69064 550.9971 ], [527.0227  526.27563], [622.1699  693.05054], [578.8379 717.772 ]
4353343000, [488.6783 560.6109], [525.7207  537.55133], [621.51526 691.43414], [584.4729 714.4937]
4459525000, [271. 684.], [437. 684.], [437. 719.], [271. 719.]
4514528000, [179.78049 142.33789], [537.42523    -3.8526382], [602.1019  154.37436], [244.45721 300.56488]
4587342000, [360.2797  434.47238], [503.94577 378.8597 ], [625.29236 692.3384 ], [481.6263  747.95105]
4652437000, [472.7176  367.36862], [516.9819  366.97342], [519.0445 597.9817], [474.7802  598.37695]
4745711000, [423.72394 407.58344], [506.87155 375.66547], [627.46674 689.82086], [544.3191  721.73883]
4812176000, [397.60004 404.8    ], [519.10004 364.3    ], [628.10004 691.3    ], [506.60004 731.8    ]
4886786000, [183.48921 128.80823], [587.6601  -22.30613], [650.8212  146.62473], [246.65033 297.73907]
4979221000, [249. 668.], [440. 668.], [440. 719.], [249. 719.]
5045103000, [288.91882 173.4977 ], [537.9055     -5.6893597], [571.8215    41.438065], [322.83478 220.62512]
5111133000, [183.23337 140.17563], [540.3971    -4.620476], [604.0294  152.33939], [246.86572 297.1355 ]
5184790000, [448.1845 717.7279], [553.29913 650.3467 ], [563.43427 666.1575 ], [458.31964 733.5387 ]
5251981000, [303.1031   67.58867], [452.67365  -10.236662], [459.11523     2.1433105], [309.54468  79.96864]
5349161000, [547.4231 489.1154], [548.96155 488.8077 ], [550.5769 496.8846], [549.03845 497.1923 ]
5414569000, [588.6049 678.156 ], [596.60004 665.7999 ], [628.15375 686.21704], [620.1586 698.5731]
5484849000, [612. 261.], [613. 261.], [613. 263.], [612. 263.]
5592333000, [213.31567 375.84326], [236.49878  -21.167946], [795.74524  11.4888 ], [772.56213 408.5    ]
5647169000, [-69.45556 124.37485], [644.04425 -71.75809], [807.7107 523.6338], [ 94.21088 719.7667 ]
5716280000, [462.9318    5.04718], [611.4347     -0.6281128], [633.6185  579.84906], [485.1156  585.52435]
5820527000, [5.9540625e+02 7.1365356e-02], [ 6.1049536e+02 -6.0426331e-01], [624.39417 309.80322], [609.30505 310.47888]
5883017000, [460.20795 412.4096 ], [497.9504  403.78278], [542.72925 599.6905 ], [504.9868 608.3173]
5945397000, [437.88586 372.1952 ], [540.7939 344.2411], [632.506   681.86255], [529.59796 709.81665]
6018659000, [-72.05658 293.31018], [497.62735 -70.95879], [593.2059    78.517456], [ 23.521942 442.78644 ]
6086361000, [455.96768 562.2925 ], [602.5055     -1.9464006], [701.5553   23.77771], [555.01746 588.0166 ]
6187131000, [323.86694   18.126251], [ 6.1243524e+02 -5.4580688e-01], [656.50995 680.60815], [367.94165 699.2803 ]
6280891000, [453.7779  718.98773], [494.17902   -6.615873], [676.72003     3.5478516], [636.3189 729.1514]
6345499000, [468.58362 329.35187], [599.9499 314.5551], [641.28357 681.5175 ], [509.9173 696.3143]
6414617000, [-60.915062 292.44525 ], [438.94406  -29.579346], [531.6715   114.355835], [ 31.812408 436.38043 ]
6477299000, [-60.18801 323.5268 ], [ 459.15558 -113.81522], [591.61584   43.481384], [ 72.27228 480.8234 ]
6555862000, [341.68744   16.807037], [626.0854      -0.87576294], [670.1905  708.48047], [385.79254 726.1632 ]
6618911000, [333.66928 181.77513], [531.88654  -25.881084], [560.1892      1.1351166], [361.972   208.79134]
6720194000, [ 86.89003 490.094  ], [554.40137 350.9879 ], [653.78687 685.0051 ], [186.27551 824.1112 ]
6782043000, [-2.2013028e-14  0.0000000e+00], [967.   0.], [967. 719.], [  0. 719.]
6852845000, [-84.20131 175.91724], [574.87573 -98.69823], [864.0769  595.38464], [204.99988 870.0001 ]
6920199000, [-13.003357 389.48297 ], [ 168.0368  -146.29805], [730.9526   43.91092], [549.9124  579.69196]
7011096000, [223.65623 250.05765], [503.2611   -39.357925], [548.0853      3.9468384], [268.48047 293.36243]
7083459000, [363.1338  367.96146], [565.9676  330.82288], [631.3693  688.01697], [428.53552 725.1555 ]
7159179000, [ 62.42079 218.70796], [ 69.99504 209.45052], [200.25246 316.02478], [192.6782  325.28223]
7223191000, [183.79515 221.05043], [396.24268 -50.63729], [461.   0.], [248.55249 271.6877 ]
7314457000, [5.9014221e+02 2.7368164e-01], [ 6.055581e+02 -5.948181e-01], [623.443   316.86237], [608.0271  317.73087]
7393911000, [606.9587  177.29655], [616.10345 176.75862], [624.2276  314.86896], [615.0828  315.40692]
7456754000, [438.3478  404.89972], [516.87836 375.67316], [632.2053 685.5516], [553.67474 714.77814]
7522667000, [ -6.3233337 660.63464  ], [ 10.514435 -14.746178], [631.8346      0.7437744], [614.9968 676.1246]
7613347000, [190.94257 158.26645], [542.4282     -3.4169617], [606.447   135.75436], [254.96136 297.43777]
7680089000, [593.6 676.8], [598.6 666.8], [631.4 683.2], [626.4 693.2]
7751852000, [512.03925 504.48645], [521.4228  468.65833], [565.3835  480.17188], [555.99994 516.     ]
7849107000, [508.44858 537.45215], [538.30066 521.2036 ], [628.     686.0001], [598.14795 702.24866]
7912454000, [472.1507  492.17865], [554.3913 464.9218], [627.49835 685.5035 ], [545.25775 712.7603 ]
7985358000, [505.0407 477.9414], [555.6165  468.86365], [572.5146  563.01013], [521.9388 572.0879]
8057999000, [-62.13707 681.4643 ], [ 31.424164 364.5633  ], [169.28375 405.2647 ], [ 75.72252 722.1657 ]
8144383000, [404.42145 500.08063], [580.6765  462.57953], [628.5977 687.809 ], [452.34265 725.3101 ]
8211204000, [340.21222 411.90143], [531.6539  356.35968], [627.87225 688.00616], [436.4306 743.5479]
8285718000, [475.96442 488.25043], [542.0859  468.98077], [603.80585 680.7652 ], [537.6844  700.03485]
8355808000, [ -1.0683746 413.6907   ], [ 56.187866 215.89645 ], [213.38403 261.4006 ], [156.12779 459.19485]
8446162000, [432.4589  385.07587], [527.91895 356.7271 ], [626.1919  687.64606], [530.7318 715.9948]
8520608000, [-49.874527 285.43204 ], [496.9226  -70.73857], [593.8563    78.075195], [ 47.059204 434.2458  ]
8585713000, [472.03827 492.9859 ], [541.5451  467.29865], [622.41    686.10944], [552.90314 711.7967 ]
8676171000, [506.36572 505.69534], [519.12634 470.1479 ], [565.62195 486.83865], [552.8613 522.3861]
8746960000, [507.59695 504.60956], [517.8589  472.11334], [560.26196 485.50378], [550. 518.]
8818476000, [502.16614 530.5392 ], [531.595  514.1096], [627.42566 685.76245], [597.9968 702.192 ]
8913741000, [ 55.804214 220.54578 ], [302.18857   59.080284], [396.56464 203.09116], [150.18027 364.55664]
8987096000, [237.10623 284.75528], [300.3641  68.9343], [326.657    76.64084], [263.39914 292.46182]
9048606000, [426. 632.], [429. 632.], [429. 634.], [426. 634.]
9119264000, [494.23077 702.84607], [517.0769  687.61536], [518.61536 689.9231 ], [495.76923 705.1538 ]
9189077000, [ 71.020676 213.20233 ], [ 77.92723 204.72302], [208.31703 310.9276 ], [201.41048 319.40692]
9280191000, [214.17377 371.3095 ], [305.58804 -64.48425], [873.3299    54.608093], [781.91565 490.40186]
9346076000, [132.59143 662.9587 ], [559.817  612.2941], [571.2859 709.0046], [144.0603 759.6691]
9446446000, [-79.31018 228.88937], [526.41406  -45.452126], [607.0725  132.63528], [  1.3482666 406.97678  ]
9517158000, [-1.7145056e-14  0.0000000e+00], [726.   0.], [726. 560.], [  0. 560.]
9585895000, [422.7371 447.6607], [504.00003 398.00006], [663.73486 659.38434], [582.4719 709.045 ]
9651393000, [465.031   488.50623], [552.9591  457.17554], [632.2035  679.57117], [544.2754  710.90186]
9746738000, [465.90848 329.13834], [593.8686  313.89658], [637.3579 679.0045], [509.39777 694.2462 ]
9811779000, [464.2685  331.44907], [593.98395 314.8743 ], [640.35834 677.8042 ], [510.64288 694.3789 ]
9889892000, [513.8486 526.9003], [545.488   509.16608], [639.00006 676.00006], [607.36066 693.7343 ]
9976053000, [520.4378 491.8271], [531.85406 454.72437], [585.9622 471.373 ], [574.54596 508.4757 ]
10044751000, [ 74.22204 198.92383], [ 81.66451 190.0859 ], [211.30795 299.2593 ], [203.86548 308.09723]
10110694000, [183.06462 700.62665], [197.74324 680.7056 ], [226.5673 701.9444], [211.88869 721.8654 ]
10184863000, [352.59323 456.79175], [531.9224  388.32056], [642.745   678.57007], [463.41577 747.04126]
10275353000, [-86.24835 253.3533 ], [297.00003   44.999985], [390.2772  216.57547], [  7.0288086 424.92877  ]
10345729000, [-74.73083 305.61414], [480.97717 -92.22232], [586.61365   55.333344], [ 30.90564 453.1698 ]
10419532000, [-79.0426  138.66379], [573.7871  -93.42332], [664.5339  161.83511], [ 11.704163 393.9222  ]
10509781000, [504.6949  475.42834], [551.4039  464.34485], [574.32855 560.95593], [527.61957 572.0394 ]
10586625000, [178.07799 709.27875], [184.2036  652.61664], [443.4173 680.6397], [437.2917 737.3018]
10646748000, [450.57812 711.0869 ], [545.8076  664.60583], [553.78986 680.9597 ], [458.56036 727.4408 ]
10712529000, [426.42007 399.85245], [519.7719 366.3643], [633.49744 683.3866 ], [540.14557 716.87476]
10814873000, [189.85107 707.7387 ], [196.72833 655.12787], [440.48474 686.9914 ], [433.60748 739.60223]
10878260000, [188.81989 164.61572], [542.4596     -1.1529236], [606.29065 135.01999], [252.65094 300.78864]
10947137000, [510.61877 504.66318], [519.50146 468.2443 ], [570.83777 480.76535], [561.9551 517.1842]
11051692000, [-94.3522 194.4609], [514.5957  -68.44657], [609.37756 151.08786], [  0.4296875 413.99533  ]
11115698000, [446.97037 347.27014], [575.95746 326.73306], [633.635  688.9883], [504.6479 709.5254]
11181561000, [-96.042404 192.77646 ], [524.59045  -73.061264], [621.0461  152.12692], [4.1320801e-01 4.1796466e+02]
11289566000, [430.76593 656.6533 ], [539.6401 612.3441], [568.262   682.67236], [459.38788 726.98157]
11340423000, [186.2774  162.73727], [544.0329    -4.215332], [609.63873 136.36859], [251.88324 303.3212 ]
11413284000, [186.27106 139.98087], [542.82587    -4.8020096], [605.9809 150.729 ], [249.42609 295.51187]
11477259000, [381.84546 531.3852 ], [551.4973  476.41425], [622.3014  694.93024], [452.64954 749.9012 ]
11581197000, [504.37088 489.1576 ], [557.8186 481.6997], [572.677  588.1846], [519.22925 595.64246]
11640494000, [ 60.4738  216.89114], [ 67.650314 207.9985  ], [197.92693 313.134  ], [190.75041 322.02664]
11710055000, [563.6994  672.93774], [571.00006 659.     ], [624.62103 687.08716], [617.3204 701.0249]
11777506000, [542.6124 499.3202], [546.48315 498.42694], [551.77527 521.3595 ], [547.90454 522.25275]
11844258000, [ 56.600018 450.20004 ], [ 63.40002 446.80002], [ 64.000015 448.00003 ], [ 57.200016 451.40005 ]
11956951000, [510.4322  504.68912], [524.85614 478.3498 ], [575.6115  506.14438], [561.18756 532.4837 ]
12009477000, [494.5211  497.56653], [556.44226 477.93298], [624.8644  693.72595], [562.94324 713.3595 ]
12081922000, [491.72195 498.41348], [556.58026 477.42996], [626.1981 692.6124], [561.3398  713.59595]
12177458000, [525.2438 542.0072], [539.5393  535.91833], [588.88416 651.7715 ], [574.5886  657.86035]
12245219000, [ -1.6096821 408.5316   ], [187.      321.00003], [189.69824 326.81412], [  1.088562 414.34567 ]
12311256000, [555.53845 500.30774], [557.756   499.84088], [562.1592 520.756 ], [559.94165 521.22284]
12412403000, [553.8462  496.23077], [557.30774 495.53845], [563.38464 525.9231 ], [559.9231 526.6154]
12476094000, [551.3298  496.82166], [557.373  494.9622], [567.3189 527.2865], [561.2757 529.146 ]
12544737000, [547.0754  498.02954], [554.9443 494.5869], [570.36725 529.83936], [562.49835 533.282  ]
12608176000, [550.34717 497.78024], [556.2484 496.0446], [565.08594 526.0924 ], [559.1847 527.828 ]
12715101000, [551.8791  498.24368], [554.8267  497.60294], [561.2076  526.95496], [558.25995 527.5957 ]
12787975000, [377. 680.], [437. 680.], [437. 719.], [377. 719.]
12842462000, [397.99603 415.6205 ], [514.76843 373.36002], [630.341  692.7052], [513.5686 734.9657]
12913123000, [ -3.3869934 413.3823   ], [ 422.64694 -137.8458 ], [787.80994 144.38193], [361.77603 695.61   ]
13012499000, [430.01935 389.9939 ], [524.00006 360.     ], [630.1833 692.7074], [536.2026 722.7013]
13079504000, [173.85854 481.75287], [338.58496  -77.318726], [715.3003    33.677734], [550.57385 592.7493 ]
13146047000, [ -1.9197582 408.89862  ], [188.00002 320.     ], [190.62236 325.6023 ], [  0.70259094 414.50092   ]
13244572000, [531.35895 540.5877 ], [538.7563  538.05707], [559.6385  599.09735], [552.24115 601.628  ]
13311006000, [549.51764 500.3294 ], [551.74115 499.83527], [556.847   522.81177], [554.6235 523.3059]
13474499000, [705. 342.], [705. 342.], [705. 342.], [705. 342.]
13549960000, [489.62064 705.44824], [513.3872  689.10876], [514.7294  691.06104], [490.96283 707.4005 ]
13675221000, [571.5846 324.4769], [594.76917 318.15384], [595.6692  321.45383], [572.4846 327.7769]
13778785000, [547.8854 499.5874], [551.0831 498.6991], [559.3926  528.61316], [556.1948  529.50146]
13845808000, [451.32007 713.7601 ], [535.48004 650.6401 ], [547.60004 666.8001 ], [463.44006 729.9201 ]
13911837000, [338.4029  472.75354], [510.72397 403.146  ], [628.38226 694.422  ], [456.0612  764.02954]
14014116000, [372.42975 539.73236], [556.9981  480.19415], [626.85675 696.7559 ], [442.2884 756.2941]
14077767000, [425.83228 401.53192], [511.56857 370.79633], [627.04297 692.90924], [541.30664 723.64484]
14145075000, [183.37936 139.44827], [544.06903    -4.8275833], [607.7241  154.31033], [247.03448 298.58618]
14212884000, [246. 672.], [440. 672.], [440. 719.], [246. 719.]
14308191000, [547.5111 499.0734], [551.71643 498.44254], [556.1467 527.978 ], [551.9414 528.6089]
14372544000, [507.1471  503.91177], [537.58826 485.64706], [545.08826 498.14706], [514.6471  516.41174]
14444729000, [514.269   351.65982], [611.2603  302.64267], [617.39825 314.788  ], [520.4069  363.80515]
14510783000, [382.1653 693.5803], [398.80283 686.34656], [412.99997 719.     ], [396.36246 726.23376]
14614796000, [ 61.50819 218.59015], [ 68.7213  209.93439], [196.29509 316.24585], [189.08199 324.9016 ]
14672935000, [ 62.50928 218.59589], [ 69.6969  209.86804], [167.66599 290.54846], [160.47836 299.2763 ]
14740241000, [5.9360504e+02 2.6115417e-02], [ 5.9892889e+02 -3.2587433e-01], [607.3282  126.71386], [602.00433 127.06585]
14839822000, [ 62.44262 216.86885], [ 69.819664 208.01637 ], [198.37704 315.14752], [191. 324.]
14907705000, [417.06863 453.70728], [501.804   390.39923], [616.5929  544.03973], [531.85754 607.3478 ]
14977845000, [464.2789 500.8419], [557.0098  471.67307], [626.5724  692.81995], [533.8415 721.9888]
15041619000, [473.6253  495.89294], [554.94403 470.43335], [624.4809  692.53625], [543.1622  717.99585]
15113966000, [504.1907  478.05057], [554.99225 474.87552], [562.1791 589.8639], [511.3775  593.03894]
15209391000, [ 93.67755 433.69107], [553.87164 336.39285], [628.78644 690.7195 ], [168.59235 788.0177 ]
15277236000, [281.0006   81.76538], [669.60114  -20.074768], [857.4905 696.8714], [468.88995 798.71155]
15344088000, [-33.078796 351.3427  ], [ 350.7791  -185.38876], [930.4283 229.1629], [546.5704 765.8944]
15446060000, [585.5547     1.130722], [ 6.1214673e+02 -5.9284973e-01], [632.8408  318.68616], [606.2488  320.40973]
15507979000, [ 76.80815 214.53528], [ 83.58324 205.80804], [182.16896 282.3417 ], [175.39388 291.06894]
15574941000, [489.20508 582.62463], [502.23657 474.02838], [548.01733 479.5221 ], [534.98584 588.11835]
15654142000, [507.74286 483.40158], [537.5517  472.50986], [585.1292 602.7219], [555.3204  613.61365]
15739284000, [193.36203 705.66986], [199.73056 647.0795 ], [453.53622 674.66705], [447.1677 733.2574]
15809621000, [191.44557 663.2122 ], [532.3611  473.12592], [646.0613 677.0446], [305.14575 867.1309 ]
15876715000, [195.10046 706.0761 ], [201.49231 647.27094], [452.54785 674.55963], [446.156  733.3648]
