time, p0, p1, p2, p3
1366069000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1465465000, [129.11821 717.87964], [244.94316 109.79871], [643.34576 185.68494], [527.5208  793.76587]
1558162000, [130.29085 718.7555 ], [167.96815 147.31656], [640.92303 178.50037], [603.2457  749.93933]
1645927000, [446.36676 718.9208 ], [466.0551  313.57126], [627.36884 321.4065 ], [607.6805 726.756 ]
1719119000, [450.42908 323.61356], [596.0917 321.9296], [600.6654  717.55884], [455.0028 719.2428]
1784199000, [411.3866  576.42566], [504.01807 291.40585], [593.4923 320.485 ], [500.86084 605.50476]
1846329000, [426.57278 469.90186], [501.93106 436.0963 ], [610.74695 678.6649 ], [535.3887  712.47046]
1925555000, [393.0727  471.83752], [551.7163  435.94006], [608.71515 687.83813], [450.07153 723.7356 ]
1982792000, [416.09277 355.2167 ], [545.96594 330.81854], [613.50635 690.3413 ], [483.63318 714.73944]
2044596000, [422.69778 351.33   ], [550.9718  329.83157], [611.81506 692.8634 ], [483.54102 714.3618 ]
2082890000, [428.0298 348.1494], [553.79016 327.70898], [613. 692.], [487.23962 712.4404 ]
2180892000, [428.73602 354.4771 ], [542.9683 333.8249], [607.5252  690.90497], [493.2929 711.5572]
2216643000, [440.02106 343.359  ], [550.9855  329.88025], [594.33   686.7169], [483.3656 700.1957]
2336191000, [433.50183 490.37204], [480.1865  461.10703], [595.2583  644.67395], [548.5736  673.93896]
2379117000, [434.57727 373.01764], [517.92554 356.62128], [578.4937  664.50946], [495.14545 680.9058 ]
2444614000, [496.57   511.6206], [506.04437 475.9097 ], [556.4743  489.28906], [546.99994 525.     ]
2549586000, [495.57712 505.64203], [530.7363 481.1834], [538.2777  492.02417], [503.11853 516.4828 ]
2611827000, [497.05368 507.36246], [531.6846  483.12082], [537.93286 492.04697], [503.302  516.2886]
2683053000, [534.2141  499.51135], [542.1587  497.00256], [551.8766 527.7759], [543.932   530.28467]
2746825000, [500.31638 504.3648 ], [528.03467 484.799  ], [534.8522 494.4572], [507.1339 514.023 ]
2849948000, [  0.     718.9999], [0. 0.], [1233.9998    0.    ], [1233.9998  718.9999]
2914372000, [  0.     718.9999], [0. 0.], [1278.9998    0.    ], [1278.9998  718.9999]
2981982000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
3046589000, [-2.2013028e-14  0.0000000e+00], [1238.    0.], [1238.  719.], [  0. 719.]
