time, p0, p1, p2, p3
1272808000, [  0.     718.9999], [0. 0.], [1278.9998    0.    ], [1278.9998  718.9999]
1320849000, [181.31772 619.50415], [191.90906 591.1467 ], [305.0851  633.41736], [294.49377 661.7748 ]
1377105000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1442779000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1506523000, [426.9145    26.232754], [720.93146   -6.576053], [722.3757     6.365803], [428.3587   39.17461]
1555063000, [485.0499    23.231316], [715.1548     -4.9110117], [716.6155      7.0326385], [486.51062   35.174965]
1610911000, [426.71857   26.263527], [711.9628   -3.08259], [713.5284    12.134941], [428.28412   41.481056]
1674799000, [427.7981    26.062708], [760.109     -8.553041], [761.7256      6.9660664], [429.41467   41.581818]
1709016000, [306.71173 238.8376 ], [411.46027   52.879528], [423.93787   59.908066], [319.18933 245.86613]
1742118000, [411.9863  339.63013], [440.23972 277.4726 ], [459.30136 286.13696], [431.04794 348.2945 ]
1786143000, [758.9952  232.93983], [772.34296    9.841028], [779.59906    10.2751465], [766.2513  233.37395]
1843892000, [640.2312  226.49707], [751.942   204.96948], [851.     718.9999], [739.2892  740.52747]
1875961000, [275.16455 242.92824], [276.2096     -2.1483607], [ 7.8000000e+02 -1.5258789e-05], [778.95496 245.07658]
1909897000, [634.88226 220.47336], [749.8776  194.76852], [866.3897  716.00696], [751.39435 741.7118 ]
1944370000, [152.53528 669.8412 ], [181.65057 592.6223 ], [312.56378 641.98303], [283.4485 719.2019]
2011384000, [-2.2013028e-14  0.0000000e+00], [860.   0.], [860. 719.], [  0. 719.]
2082381000, [-3.9164124 58.81317  ], [ 339.9404 -363.7718], [1183.5148  322.6435], [839.65796 745.22845]
2138476000, [ -1.5258656 256.70715  ], [419.43686   61.626816], [472.41727 175.95294], [ 51.45453 371.03326]
2177040000, [438.6673    17.750927], [709.9725   -10.033327], [711.38275     3.7379055], [440.07758  31.52216]
2210091000, [440.33356   17.125835], [722.0131   -10.179863], [723.2846     2.936674], [441.60504   30.242373]
2250553000, [436.55145   14.678603], [721.45514  -14.886834], [723.2082     2.006711], [438.3045    31.572147]
2319399000, [433.2435    14.710579], [711.52966   -14.1681795], [713.22266     2.1466942], [434.93652   31.025452]
2375971000, [179.7892 651.7468], [215.66624 591.52466], [299.64752 641.556  ], [263.7705 701.7782]
2409986000, [162.61865 655.1012 ], [209.67079 574.0669 ], [323.7315  640.29565], [276.67938 721.32996]
2442388000, [421.17102 527.448  ], [449.58948 402.40674], [651.1769  448.22205], [622.7584 573.2633]
2491057000, [383.79657 541.75165], [502.59784 376.69147], [587.00134 437.4405 ], [468.20007 602.5007 ]
2541119000, [384.77527 539.22565], [507.23663 377.74997], [590.7354  441.07452], [468.27405 602.5502 ]
2609782000, [488.11005 233.63303], [511.99994 154.     ], [809.88995 243.36697], [786.00006 323.     ]
2651153000, [206.57787  46.8515 ], [718.44116 -53.73298], [758.4724  149.98143], [246.60913 250.56592]
2709946000, [-16.2064   44.16043], [701.416    -8.03022], [718.7024  229.65802], [  1.079956 281.84866 ]
2775855000, [-1.3777277e-14  0.0000000e+00], [794.   0.], [794. 450.], [  0. 450.]
2810160000, [-1.1725994e-14  0.0000000e+00], [791.   0.], [791. 383.], [  0. 383.]
2875857000, [342.55072 313.82568], [463.8515  282.84277], [575.2399 718.9387], [453.93915 749.92163]
2911317000, [219.32626 322.58008], [447.1451  154.38324], [764.16077 583.77386], [536.3419 751.9707]
2949102000, [150.85907 286.64536], [370.7841  101.41852], [763.9737  568.26355], [544.0487 753.4904]
3008073000, [289.2     272.60004], [594.89996 170.7    ], [758.8     662.39996], [453.10004 764.3    ]
3044234000, [266.90796 285.69946], [501.8493  149.55403], [771.04126 614.0889 ], [536.0999 750.2344]
3108775000, [364.48706 271.3986 ], [710.6885  152.98764], [749.30615 265.89523], [403.10474 384.30618]
3183361000, [137. 283.], [184.25485  79.25188], [850.1527  233.69208], [802.8978 437.4402]
3239862000, [131.69849  61.63623], [698.51404  -23.271309], [729.43    183.11377], [162.61444 268.0213 ]
3275776000, [298.03174 224.04054], [412.6178    8.87335], [444.0935    25.635574], [329.50745 240.80276]
3314006000, [430.74194   23.748312], [700.71826    -7.1864457], [702.3617     7.156492], [432.38538  38.09125]
3374298000, [434.2318    24.220037], [726.9861    -8.949156], [728.599       5.2868156], [435.84473  38.45601]
3412297000, [190.99445 623.8497 ], [281.77615 594.2469 ], [304.0679 662.6082], [213.2862 692.211 ]
3476132000, [-182.35324  383.20593], [516.05286 -77.1783 ], [741.8878  265.41486], [ 43.48169 725.7991 ]
3510949000, [-19.581207  33.909637], [759.33136  -30.420258], [815.9668 655.3264], [ 37.0542 719.6564]
3544910000, [-16.546156  30.685455], [731.29663  -22.123383], [779.9462  666.81946], [ 32.103455 719.6283  ]
3609045000, [ 74. 600.], [303. 600.], [303. 719.], [ 74. 719.]
3644349000, [-9.827791e-15  0.000000e+00], [783.   0.], [783. 321.], [  0. 321.]
3716181000, [381.66348 418.35425], [504.161   397.10474], [560. 719.], [437.50244 740.2495 ]
3776185000, [193.356     20.751617], [781.3905    -8.326996], [809.7362 564.8866], [221.70172 593.9652 ]
3840235000, [-37.59903 107.51541], [ 277.81345 -349.80502], [1177.288    270.55978], [861.8755  727.88025]
3879570000, [ -3.7494812 264.52368  ], [ 192.53589 -234.04106], [973.7538    73.525085], [777.4684  572.08984]
3941557000, [-2.2013028e-14  0.0000000e+00], [896.   0.], [896. 719.], [  0. 719.]
3976216000, [-2.2013028e-14  0.0000000e+00], [901.   0.], [901. 719.], [  0. 719.]
4017483000, [195.66077   34.636642], [609.44794  -24.749489], [639.1524  182.22346], [225.36523 241.60959]
4076430000, [339.12964 216.95985], [457.4724      4.1505017], [471.81696   12.127457], [353.47418 224.93681]
4143954000, [340.3019  216.05663], [458.55667     3.1981199], [472.31137  10.83963], [354.0566  223.69814]
4214052000, [439. 382.], [581. 382.], [581. 719.], [439. 719.]
4272356000, [389.04703 275.8912 ], [484.63318 254.02505], [591.     718.9999], [495.41388 740.8661 ]
4306732000, [322.21655 232.62143], [420.55542  29.09214], [927.9603  274.25412], [829.62146 477.78342]
4339797000, [469.02942     3.6176505], [510.99414     -0.72353363], [512.10236    9.989407], [470.13763   14.330591]
4378294000, [772. 567.], [772. 567.], [772. 567.], [772. 567.]
4413871000, [437.54596 717.09265], [483.1612  634.49207], [505.61273 646.8906 ], [459.9975 729.4912]
4476044000, [370.11993 166.50916], [457.88074    9.144995], [468.2074    14.904083], [380.4466  172.26825]
4540705000, [183.16138   35.839855], [435.76166    8.775547], [437.7251    27.100895], [185.12482   54.165203]
4574049000, [465.54736     1.2072296], [590.33264  -8.54161], [591.3712      4.7522507], [466.58594  14.50109]
4613399000, [93.7 79.1], [100.899994  76.700005], [101.5      78.50001], [94.3 80.9]
4678678000, [440.34427 427.78693], [456.18692 420.85577], [486.87216 490.99347], [471.0295  497.92462]
4741176000, [450.7692  454.15387], [463.46152 445.69232], [492.07687 488.61542], [479.38455 497.07697]
4805999000, [464.58682     1.5323563], [590.77435   -4.623149], [591.4059    8.32166], [465.21832   14.477165]
4843425000, [432.2364  433.52777], [456.9027  420.18372], [499.41852 498.77356], [474.7522 512.1176]
4906629000, [460.76917     1.4990082], [632.6249     -7.3140926], [633.45764    8.925251], [461.60193   17.738352]
4940081000, [465.6061      1.2112632], [631.8989     -3.5399725], [632.30347   10.619896], [466.01062   15.371132]
4975162000, [466.09122    4.367869], [606.48425   -6.600333], [607.41125    5.264747], [467.0182    16.232948]
5040803000, [112.20689 704.62683], [142.4997 563.8544], [344.3671 607.2942], [314.07428 748.06665]
