time, p0, p1, p2, p3
1409804000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
1577616000, [549.50006 512.50006], [578.50006 483.50006], [593.00006 498.00006], [564.00006 527.00006]
1745916000, [  0.     718.9999], [0. 0.], [1278.9998    0.    ], [1278.9998  718.9999]
1915686000, [-2.2013028e-14  0.0000000e+00], [1279.    0.], [1279.  719.], [  0. 719.]
2120389000, [  0.     718.9999], [0. 0.], [659.9999   0.    ], [659.9999 718.9999]
2280333000, [407.   0.], [1279.    0.], [1279.  719.], [407. 719.]
2448138000, [278.8001  137.98969], [ 942.2569  -116.88287], [1186.0044   517.61414], [522.54755 772.4867 ]
2646822000, [517. 362.], [686. 362.], [686. 706.], [517. 706.]
2809934000, [349.96558 468.0158 ], [542.06885 379.96844], [686.6155  695.34283], [494.5122 783.3902]
2978897000, [465.07776     6.1757812], [ 6.490930e+02 -3.961792e-01], [672.03064 641.856  ], [488.01538 648.428  ]
3146246000, [431.6537 616.1505], [528.65894 263.92908], [664.71594 301.4005 ], [567.7107  653.62195]
3310008000, [436.10138 629.13153], [517.4971 442.6614], [634.7775 493.8553], [553.38184 680.32544]
3475137000, [423.41724 420.5088 ], [663.8458  404.18335], [684.41345 707.08923], [443.98486 723.4147 ]
3643910000, [-82.22485 190.92345], [616.6781  -80.61757], [706.94324 151.71053], [  8.040283 423.25153 ]
3808790000, [169. 655.], [470. 655.], [470. 719.], [169. 719.]
3977544000, [5. 0.], [685.   0.], [685. 719.], [  5. 719.]
4141028000, [147.85043 311.35968], [656.7402 294.9439], [670.261  714.0883], [161.37122 730.5041 ]
4312494000, [370.1692 123.6084], [639.74     -2.68927], [949.0919 657.5941], [679.5211 783.8918]
4483901000, [406.18134 422.47632], [622.4255  394.15857], [663.9012  710.88196], [447.65704 739.1997 ]
4681951000, [297.68378 713.3244 ], [507.10608 406.4703 ], [707.6394 543.3306], [498.2171 850.1847]
4845402000, [471.10858 360.80835], [612.49115 319.26807], [720.81696 687.9558 ], [579.4344 729.4961]
5009761000, [624.6896      0.6901245], [ 6.434232e+02 -4.529419e-01], [662.20605 307.37723], [643.4724 308.5203]
5174667000, [229.40259 134.54207], [590.323     -4.357628], [651.6437  154.97957], [290.72327 293.87927]
5351463000, [441.40756 619.8056 ], [517.488   387.94138], [651.11633 431.78815], [575.03595 663.65234]
5511815000, [504.89313 607.01624], [526.8438  302.63293], [629.1435  310.01038], [607.1928 614.3937]
5709838000, [391.98764 510.74377], [582.5   435.719], [685.4133  697.04956], [494.901   772.07434]
5877140000, [421.42862 708.72144], [516.76404 267.48923], [764.45557 321.00708], [669.1201  762.23926]
6040935000, [495.81845 629.6006 ], [549.5358  211.10463], [670.319   226.60815], [616.6016 645.1041]
6212668000, [-1.3838509e-14  0.0000000e+00], [683.   0.], [683. 452.], [  0. 452.]
6409067000, [495.84027 682.7415 ], [499.89752 172.87718], [658.0573  174.13574], [654.00006 684.00006]
6582546000, [132.16412 614.60144], [605.26886 448.79373], [690.79083 692.8164 ], [217.6861  858.62415]
6749494000, [132.31749 209.89017], [893.35547 152.06607], [934.07556 687.99426], [173.0376  745.81836]
6909808000, [-87.35368 184.5926 ], [618.01324 -95.62172], [711.3115  139.23244], [  5.94458 419.44678]
7078183000, [-90.29541 189.61673], [619.1042  -94.59063], [711.753   136.66678], [  2.3533936 420.87415  ]
7246534000, [-86.377815 193.54034 ], [621.23157 -87.53101], [711.1704  138.89398], [  3.5610352 419.96533  ]
7407786000, [347.91425   33.547516], [642.87787    -1.0410461], [724.4599 694.6725], [429.49628 729.2611 ]
7576151000, [-2.2013028e-14  0.0000000e+00], [721.   0.], [721. 719.], [  0. 719.]
7742806000, [166. 655.], [468. 655.], [468. 719.], [166. 719.]
7909399000, [-84.81482 199.57327], [614.7845  -82.40806], [706.11646 144.18771], [  6.517151 426.16904 ]
8074890000, [492.73416 404.69116], [548.8963  391.55652], [608.048  644.4807], [551.8858  657.61536]
8238221000, [-20.20269  23.8741 ], [643.308    -10.398117], [663.52673 381.0368 ], [1.6052246e-02 4.1530902e+02]
8407787000, [496.91895 303.9082 ], [659.5399  289.50946], [696.4436  706.30444], [533.82263 720.7032 ]
8574435000, [444.1619  190.90909], [653.95795 180.80948], [679.4923 711.2258], [469.69623 721.32544]
8740698000, [501.67218 517.47375], [577.10016 471.8018 ], [706.3117  685.19666], [630.8837  730.86865]
8915507000, [-57.617104 317.04443 ], [344.40677  57.40399], [438.0049  202.33014], [ 35.98105 461.97058]
9079036000, [395.91736 508.47052], [584.8064  448.86554], [667.0242 709.4146], [478.13513 769.0196 ]
9238760000, [-74.576744 242.68439 ], [577.9835   -41.387093], [655.5572  136.81287], [  2.9969482 420.88434  ]
9277184000, [512.13446 487.6794 ], [619.28436 461.83737], [676.9908  701.10815], [569.8409 726.9502]
9445405000, [-62.695328 311.12024 ], [551.0386  -66.56225], [641.4077   80.28754], [ 27.673828 457.97003 ]
9607787000, [107.597725 390.95767 ], [631.9078  310.39966], [691.30023 696.954  ], [166.99017 777.51196]
9778455000, [380.8922  354.74933], [623.58606 313.5611 ], [689.1649 699.972 ], [446.47107 741.1602 ]
9939630000, [-62.880604 313.1833  ], [547.0596  -67.24334], [638.10645   78.732605], [ 28.16626 459.15924]
10107047000, [ 91.099945 479.27444 ], [588.91174 340.35025], [691.14355 706.6809 ], [193.33173 845.6051 ]
10274720000, [303.93234 210.1435 ], [648.36414 181.38513], [692.3522 708.2191], [347.9204 736.9775]
10440246000, [432.66855 134.95065], [583.90686   -5.484957], [595.37537     6.8657227], [444.1371  147.30133]
10610498000, [-86.96515 191.3753 ], [610.0161   -79.672905], [699.12067 149.45312], [  2.1394043 420.50134  ]
10777689000, [-88.70247 197.22522], [604.40314 -83.79548], [695.72284 141.43427], [  2.6172485 422.45496  ]
10943270000, [-89.07483 192.55408], [605.8115   -81.998985], [697.0349 148.8848], [  2.1485596 423.43787  ]
11110506000, [-90.65936 191.52885], [605.35236 -95.98035], [700.8377  135.17372], [  4.825989 422.68292 ]
11276012000, [511.58945 597.08575], [551.88385 163.44055], [670.93994 174.5033 ], [630.64557 608.1485 ]
11442867000, [129.94888 521.1095 ], [573.562   359.79565], [698.64233 703.7665 ], [255.02917 865.0803 ]
11609831000, [362.0782  493.68958], [544.962   401.93774], [695.6005 702.197 ], [512.71674 793.94885]
11775876000, [365.52402 551.18835], [522.406   447.90775], [691.6162  704.93604], [534.73425 808.2167 ]
11943382000, [467.47705 324.96188], [663.423   309.28622], [695.0796  704.99365], [499.13367 720.6693 ]
12108738000, [442.31213 191.28204], [651.8982  175.71039], [691.3064 706.1239], [481.72034 721.69556]
12273615000, [502.99182 439.61926], [593.36035 412.1709 ], [682.1936  704.63745], [591.8251 732.0858]
12442935000, [395.67245 415.8614 ], [573.66846 364.65704], [671.45496 704.5815 ], [493.45898 755.7858 ]
12609141000, [516.7473  312.80273], [641.98914 308.6704 ], [655.0648  704.96484], [529.823   709.09717]
12772368000, [491.88797 331.88663], [610.8686 318.805 ], [653.2064 703.8778], [534.22577 716.9594 ]
12942678000, [450.84024 414.41397], [558.4696 354.0543], [657.4481 530.546 ], [549.8187  590.90576]
13109278000, [440.60526 385.56125], [568.3783  351.72177], [663. 709.], [535.2269 742.8395]
13272364000, [469.55902 206.49936], [826.695   157.73904], [898.1341 680.9817], [540.9981  729.74207]
13440418000, [478.425  718.9086], [509.8249  177.86484], [931.8365  202.35657], [900.4366 743.4004]
13608077000, [472.33008 716.27344], [611.3883  172.13258], [1007.19434  273.28296], [868.1361 817.4238]
13773911000, [561.0989 705.2494], [580.4409 180.4364], [726.319   185.81274], [706.9769  710.62573]
13942105000, [476.84076 717.98596], [570.78253 240.03659], [975.05414 319.49683], [881.11237 797.44617]
14104851000, [453.16156 311.8687 ], [898.59644 287.97565], [920.79926 701.8996 ], [475.36438 725.79266]
14274456000, [438.24893 318.34085], [885.4544  278.43637], [922.1771  689.98413], [474.97162 729.8887 ]
14439715000, [487.2068 510.609 ], [568.593   482.96838], [645.71204 710.04114], [564.3258  737.68176]
14607237000, [466.59357 331.43497], [603.86176 315.78775], [648.7719 709.7721], [511.50372 725.4193 ]
14772637000, [476.22476 327.16516], [610.87354 314.63965], [647.2339  705.51306], [512.5851 718.0386]
14941562000, [520.86707 528.52136], [528.0044 477.5406], [567.1373  483.01923], [560. 534.]
15107002000, [501.2239 545.1031], [510.39798 539.0826 ], [543.43896 589.4307 ], [534.2649  595.45123]
15273710000, [459.20798 382.85602], [543.72644 358.20477], [644.      701.99994], [559.48157 726.6512 ]
15438881000, [456.04993 391.1596 ], [538.3058  363.90472], [650.59717 702.8022 ], [568.3413  730.05707]
15608057000, [458.93024 389.32617], [543.3577 361.9375], [654.2935 703.9048], [569.866   731.29346]
15774151000, [479.73547 339.67126], [590.      322.99997], [647.1478  700.97766], [536.8833 717.6489]
15941760000, [480.2852  341.43698], [593.95245 323.69528], [653.12866 702.82385], [539.46136 720.56555]
16104597000, [482.0531  341.13443], [592.9263  323.53555], [653.13025 702.8207 ], [542.2571  720.41956]
16270746000, [506.72968 586.3784 ], [540.78375 475.70273], [592.99457 491.76758], [558.9405  602.44324]
16440233000, [485.96225 337.42865], [597.9615  321.72504], [651.1376 700.9808], [539.13837 716.6844 ]
16603352000, [500.56317 504.36224], [575.6098  476.48773], [659.6529 702.7575], [584.60626 730.632  ]
16782990000, [410.08298 534.3412 ], [582.3821  473.71744], [662.9219 702.6201], [490.6228 763.2439]
